zip,lat,lng
06390,41.27024,-71.98783
10001,40.75065,-73.99718
10002,40.7157,-73.98638
10003,40.7318,-73.98911
10004,40.69465,-74.02106
10005,40.70614,-74.00891
10006,40.70968,-74.01284
10007,40.71395,-74.00764
10009,40.72633,-73.97861
10010,40.73911,-73.98265
10011,40.74187,-74.00052
10012,40.72584,-73.998
10013,40.72022,-74.00463
10014,40.73374,-74.00687
10016,40.74515,-73.9783
10017,40.75221,-73.97251
10018,40.75533,-73.99311
10019,40.7657,-73.98706
10020,40.75906,-73.98026
10021,40.76939,-73.95871
10022,40.75859,-73.96793
10023,40.77601,-73.98269
10024,40.79227,-73.97482
10025,40.79857,-73.96659
10026,40.80245,-73.9526
10027,40.81184,-73.9534
10028,40.7763,-73.95372
10029,40.79173,-73.94396
10030,40.81823,-73.94288
10031,40.82518,-73.95013
10032,40.83884,-73.94279
10033,40.8506,-73.93391
10034,40.86715,-73.9241
10035,40.79551,-73.92967
10036,40.75927,-73.98999
10037,40.81287,-73.93739
10038,40.70916,-74.00279
10039,40.83076,-73.93619
10040,40.85821,-73.93053
10044,40.76166,-73.95017
10065,40.76474,-73.96314
10069,40.77555,-73.99035
10075,40.77335,-73.95622
10103,40.76078,-73.97767
10110,40.7545,-73.98226
10111,40.75892,-73.97746
10112,40.75917,-73.97967
10115,40.81085,-73.96374
10119,40.75031,-73.99298
10128,40.78138,-73.95016
10152,40.7584,-73.97203
10153,40.76362,-73.97244
10154,40.75778,-73.97249
10162,40.76931,-73.94993
10165,40.75213,-73.97872
10167,40.75479,-73.97495
10168,40.75145,-73.9771
10169,40.75439,-73.9761
10170,40.75263,-73.97588
10171,40.7559,-73.97386
10172,40.75527,-73.97431
10173,40.75413,-73.97936
10174,40.75144,-73.975
10177,40.75498,-73.97589
10199,40.75138,-73.99715
10271,40.70824,-74.01054
10278,40.71514,-74.00377
10279,40.71263,-74.00867
10280,40.71025,-74.01672
10282,40.71683,-74.01494
10301,40.62846,-74.0962
10302,40.63043,-74.13772
10303,40.63239,-74.16905
10304,40.60607,-74.09418
10305,40.59538,-74.07543
10306,40.57152,-74.12535
10307,40.50794,-74.23965
10308,40.55152,-74.15038
10309,40.53132,-74.22056
10310,40.63236,-74.11616
10311,40.60524,-74.17956
10312,40.54534,-74.18153
10314,40.59913,-74.16572
10451,40.82077,-73.92387
10452,40.83739,-73.92344
10453,40.85225,-73.91358
10454,40.80549,-73.91661
10455,40.81478,-73.90862
10456,40.83003,-73.90815
10457,40.84713,-73.89871
10458,40.86244,-73.88826
10459,40.82585,-73.89289
10460,40.84172,-73.87956
10461,40.8474,-73.84066
10462,40.84269,-73.8586
10463,40.88077,-73.90662
10464,40.86793,-73.80051
10465,40.82391,-73.82298
10466,40.89098,-73.84597
10467,40.88081,-73.87392
10468,40.86804,-73.90006
10469,40.86862,-73.84813
10470,40.89594,-73.86812
10471,40.89947,-73.9018
10472,40.8295,-73.8694
10473,40.81819,-73.85878
10474,40.81066,-73.8844
10475,40.86953,-73.82532
10501,41.29448,-73.76075
10502,41.01145,-73.84149
10503,41.02651,-73.8752
10504,41.13121,-73.70587
10505,41.3421,-73.74565
10506,41.18883,-73.63393
10507,41.2284,-73.68628
10509,41.41174,-73.59437
10510,41.14094,-73.83447
10511,41.26299,-73.94366
10512,41.44925,-73.71213
10514,41.17308,-73.77091
10516,41.45334,-73.90241
10517,41.29822,-73.86194
10518,41.26778,-73.60032
10519,41.35021,-73.6557
10520,41.22059,-73.87156
10522,41.01226,-73.86479
10523,41.06,-73.81892
10524,41.37063,-73.92197
10526,41.29108,-73.66782
10527,41.31915,-73.76447
10528,40.97834,-73.72293
10530,41.02341,-73.8077
10532,41.09912,-73.80003
10533,41.03836,-73.85569
10535,41.33516,-73.79933
10536,41.26982,-73.68726
10537,41.33785,-73.88514
10538,40.938,-73.75667
10541,41.37973,-73.75123
10543,40.95199,-73.73552
10545,41.17861,-73.83549
10546,41.19552,-73.79992
10547,41.31169,-73.84622
10548,41.2472,-73.93496
10549,41.20069,-73.72098
10550,40.90625,-73.83505
10552,40.9238,-73.82509
10553,40.90854,-73.82173
10560,41.33202,-73.60221
10562,41.19242,-73.83096
10566,41.28919,-73.91845
10567,41.28896,-73.89799
10570,41.13006,-73.7872
10573,41.0168,-73.67728
10576,41.21336,-73.57373
10577,41.03786,-73.71367
10578,41.31739,-73.67446
10579,41.39377,-73.83614
10580,40.97889,-73.69306
10583,40.98924,-73.7931
10588,41.33533,-73.82183
10589,41.32994,-73.69523
10590,41.25393,-73.53733
10591,41.08586,-73.84417
10594,41.11637,-73.77267
10595,41.08646,-73.78201
10596,41.25608,-73.95911
10597,41.29406,-73.59682
10598,41.2819,-73.79328
10601,41.03295,-73.76504
10603,41.05456,-73.77939
10604,41.05928,-73.73944
10605,41.00919,-73.74605
10606,41.02045,-73.77572
10607,41.0395,-73.81117
10701,40.94544,-73.88034
10703,40.95974,-73.88031
10704,40.91886,-73.86176
10705,40.91925,-73.88976
10706,40.98976,-73.86752
10707,40.96054,-73.82274
10708,40.93816,-73.83075
10709,40.95459,-73.80935
10710,40.96732,-73.84713
10801,40.91757,-73.78437
10803,40.9003,-73.80662
10804,40.94912,-73.78636
10805,40.89645,-73.7804
10901,41.13876,-74.11615
10910,41.27707,-74.13522
10911,41.31682,-74.0031
10913,41.06885,-73.95552
10914,41.41597,-74.19953
10915,41.54231,-74.35823
10916,41.44214,-74.2487
10917,41.32443,-74.11697
10918,41.3477,-74.25871
10919,41.52855,-74.38317
10920,41.15291,-73.94057
10921,41.32976,-74.36388
10922,41.3336,-73.99473
10923,41.20235,-73.9998
10924,41.37946,-74.34667
10925,41.21009,-74.3033
10926,41.30162,-74.12443
10927,41.19257,-73.96708
10928,41.35344,-73.99766
10930,41.36485,-74.11535
10931,41.14745,-74.16455
10932,41.48207,-74.46457
10933,41.36525,-74.5142
10940,41.45119,-74.47016
10941,41.48857,-74.34496
10950,41.31837,-74.19886
10952,41.11363,-74.07943
10953,41.40504,-74.07745
10954,41.09997,-74.01276
10956,41.1569,-73.99436
10958,41.37337,-74.43044
10960,41.09198,-73.92584
10962,41.04906,-73.95913
10963,41.46332,-74.54425
10964,41.01624,-73.91438
10965,41.06179,-74.01279
10968,41.03936,-73.91777
10969,41.29255,-74.48882
10970,41.18793,-74.07769
10973,41.38494,-74.47609
10974,41.16798,-74.17825
10975,41.25801,-74.17403
10976,41.02857,-73.92629
10977,41.11768,-74.0481
10979,41.18272,-74.31501
10980,41.23609,-74.04651
10983,41.02736,-73.94833
10984,41.20855,-74.01752
10985,41.58358,-74.3732
10986,41.28157,-73.99502
10987,41.20392,-74.23211
10988,41.30156,-74.5428
10989,41.12464,-73.93617
10990,41.26442,-74.366
10992,41.42549,-74.16594
10993,41.21013,-73.97552
10994,41.09751,-73.97262
10996,41.38975,-73.97266
10998,41.33514,-74.53885
11001,40.72353,-73.70457
11003,40.70134,-73.70792
11004,40.74628,-73.71148
11005,40.75663,-73.71423
11010,40.7006,-73.675
11020,40.77106,-73.71278
11021,40.78645,-73.72899
11023,40.7991,-73.73351
11024,40.81632,-73.74172
11030,40.79338,-73.68887
11040,40.7456,-73.67978
11042,40.75848,-73.6973
11050,40.83849,-73.69071
11096,40.62118,-73.75303
11101,40.74671,-73.93893
11102,40.77238,-73.92611
11103,40.76266,-73.91349
11104,40.7446,-73.92027
11105,40.77887,-73.90622
11106,40.76172,-73.93183
11109,40.74589,-73.95751
11201,40.69463,-73.98972
11203,40.64955,-73.93444
11204,40.61871,-73.98492
11205,40.69468,-73.96613
11206,40.70187,-73.94235
11207,40.67073,-73.89429
11208,40.66855,-73.87103
11209,40.62194,-74.03009
11210,40.62821,-73.94627
11211,40.71244,-73.95299
11212,40.66293,-73.91303
11213,40.67111,-73.9363
11214,40.59866,-73.99636
11215,40.6626,-73.98678
11216,40.68075,-73.94937
11217,40.68259,-73.97928
11218,40.64346,-73.97611
11219,40.63267,-73.99669
11220,40.64115,-74.01651
11221,40.69136,-73.92787
11222,40.72858,-73.94774
11223,40.59715,-73.97359
11224,40.57665,-73.98873
11225,40.66304,-73.95431
11226,40.64639,-73.9568
11228,40.61679,-74.013
11229,40.60083,-73.94401
11230,40.62214,-73.96506
11231,40.67767,-74.00465
11232,40.65632,-74.00563
11233,40.6783,-73.91995
11234,40.60602,-73.91071
11235,40.58402,-73.9488
11236,40.63958,-73.90107
11237,40.70429,-73.92107
11238,40.67913,-73.96384
11239,40.64844,-73.87969
11351,40.78076,-73.82543
11354,40.76863,-73.82739
11355,40.75148,-73.82092
11356,40.78497,-73.84165
11357,40.78636,-73.81097
11358,40.76044,-73.79632
11359,40.79142,-73.77665
11360,40.78039,-73.78148
11361,40.76383,-73.77237
11362,40.7565,-73.73686
11363,40.77268,-73.74671
11364,40.74532,-73.76068
11365,40.73976,-73.79486
11366,40.72817,-73.78491
11367,40.73041,-73.82623
11368,40.74959,-73.8526
11369,40.76339,-73.87238
11370,40.77568,-73.88738
11371,40.77445,-73.87332
11372,40.75166,-73.88361
11373,40.73886,-73.87858
11374,40.72652,-73.8615
11375,40.72092,-73.84611
11377,40.74482,-73.90522
11378,40.72467,-73.90954
11379,40.71676,-73.87953
11385,40.70102,-73.89013
11411,40.694,-73.73619
11412,40.69811,-73.75896
11413,40.66992,-73.7509
11414,40.65809,-73.84495
11415,40.70795,-73.82816
11416,40.68458,-73.8496
11417,40.67637,-73.84441
11418,40.70019,-73.83611
11419,40.68863,-73.82297
11420,40.67358,-73.81787
11421,40.69401,-73.85869
11422,40.66041,-73.73626
11423,40.71561,-73.76843
11424,40.71424,-73.82714
11425,40.60774,-74.02391
11426,40.73646,-73.72237
11427,40.73097,-73.74553
11428,40.72098,-73.74227
11429,40.70978,-73.7387
11430,40.6474,-73.78627
11432,40.71529,-73.79306
11433,40.69813,-73.78684
11434,40.67677,-73.77626
11435,40.70138,-73.80968
11436,40.67577,-73.79672
11451,40.7012,-73.79596
11501,40.74633,-73.63892
11507,40.77091,-73.65235
11509,40.58877,-73.72852
11510,40.65021,-73.60804
11514,40.74989,-73.61247
11516,40.62578,-73.72669
11518,40.63759,-73.66678
11520,40.65003,-73.58291
11530,40.72737,-73.63725
11542,40.87093,-73.62885
11545,40.82705,-73.58903
11547,40.83073,-73.64435
11548,40.81464,-73.60681
11549,40.7173,-73.6028
11550,40.70171,-73.62007
11552,40.69233,-73.65129
11553,40.70674,-73.59206
11554,40.71961,-73.56021
11556,40.71968,-73.58375
11557,40.6374,-73.69197
11558,40.60481,-73.64927
11559,40.60648,-73.71731
11560,40.88062,-73.59021
11561,40.58937,-73.64791
11563,40.65726,-73.67368
11565,40.67504,-73.67167
11566,40.66312,-73.55412
11568,40.78694,-73.5965
11569,40.58975,-73.58228
11570,40.66573,-73.63851
11572,40.63232,-73.63686
11575,40.68046,-73.58527
11576,40.79841,-73.64767
11577,40.78326,-73.63883
11579,40.84404,-73.64415
11580,40.67496,-73.70357
11581,40.65154,-73.71648
11590,40.75541,-73.57461
11596,40.75971,-73.64236
11598,40.63093,-73.71164
11691,40.60138,-73.76103
11692,40.59369,-73.79231
11693,40.5965,-73.81676
11694,40.57775,-73.84386
11697,40.55951,-73.9066
11701,40.68199,-73.41258
11702,40.656,-73.31677
11703,40.73294,-73.32562
11704,40.71694,-73.35898
11705,40.74517,-73.05508
11706,40.7217,-73.2508
11709,40.90688,-73.5597
11710,40.67215,-73.53288
11713,40.77499,-72.94317
11714,40.74254,-73.48606
11715,40.75003,-73.03516
11716,40.77126,-73.12695
11717,40.78378,-73.25225
11718,40.71886,-73.26388
11719,40.78075,-72.91071
11720,40.87035,-73.08212
11721,40.89359,-73.36994
11722,40.78306,-73.19491
11724,40.86532,-73.45289
11725,40.84045,-73.2808
11726,40.67885,-73.39564
11727,40.88206,-73.00402
11729,40.76279,-73.32177
11730,40.71749,-73.17397
11731,40.86267,-73.31691
11732,40.84467,-73.53674
11733,40.93757,-73.10591
11735,40.73159,-73.4327
11738,40.83816,-73.03822
11739,40.72955,-73.16056
11740,40.86529,-73.36132
11741,40.79489,-73.07032
11742,40.81006,-73.04143
11743,40.88124,-73.42679
11746,40.81438,-73.36095
11747,40.78412,-73.40975
11749,40.80676,-73.17087
11751,40.72998,-73.21426
11752,40.75671,-73.17481
11753,40.78997,-73.54008
11754,40.88768,-73.24739
11755,40.85821,-73.11724
11756,40.72543,-73.51654
11757,40.68875,-73.37348
11758,40.66827,-73.45849
11762,40.68203,-73.44669
11763,40.82582,-72.9833
11764,40.93594,-72.97548
11765,40.88328,-73.55795
11766,40.93582,-73.0165
11767,40.84386,-73.14476
11768,40.91062,-73.32621
11769,40.73619,-73.1309
11770,40.64579,-73.15658
11771,40.86682,-73.52593
11772,40.76096,-72.9871
11776,40.91361,-73.04636
11777,40.95169,-73.06468
11778,40.9433,-72.93
11779,40.81277,-73.11536
11780,40.89219,-73.16952
11782,40.73748,-73.08116
11783,40.67767,-73.49062
11784,40.86891,-73.04118
11786,40.94462,-72.88515
11787,40.85339,-73.21033
11788,40.81808,-73.21328
11789,40.95756,-72.97214
11790,40.90689,-73.12767
11791,40.8284,-73.50435
11792,40.94818,-72.8305
11793,40.65069,-73.51421
11794,40.91362,-73.12514
11795,40.70788,-73.29826
11796,40.73135,-73.0997
11797,40.81727,-73.47004
11798,40.75225,-73.37596
11801,40.76239,-73.52394
11803,40.7818,-73.4735
11804,40.75874,-73.45697
11901,40.92254,-72.64657
11930,40.98935,-72.10144
11931,40.93495,-72.61361
11932,40.93905,-72.30785
11933,40.92378,-72.75494
11934,40.80008,-72.79363
11935,41.01796,-72.48929
11937,41.00703,-72.1953
11939,41.12788,-72.34146
11940,40.8104,-72.75711
11941,40.82973,-72.72839
11942,40.85315,-72.5849
11944,41.09988,-72.37089
11946,40.87787,-72.52651
11947,40.95518,-72.57717
11948,40.96594,-72.55795
11949,40.86546,-72.80134
11950,40.80776,-72.84737
11951,40.7634,-72.83056
11952,40.99698,-72.5437
11953,40.88593,-72.95064
11954,41.04652,-71.94662
11955,40.80886,-72.81986
11956,40.98159,-72.46894
11957,41.14927,-72.26173
11958,41.03618,-72.46153
11959,40.82255,-72.60118
11960,40.80854,-72.70635
11961,40.90392,-72.88749
11962,40.93565,-72.27269
11963,40.99428,-72.3208
11964,41.0544,-72.32076
11965,41.07777,-72.3527
11967,40.79514,-72.8749
11968,40.907,-72.41279
11970,40.93914,-72.57747
11971,41.05946,-72.4264
11972,40.83354,-72.70683
11973,40.86786,-72.88213
11975,40.94316,-72.24438
11976,40.92765,-72.34791
11977,40.82759,-72.67913
11978,40.82936,-72.64734
11980,40.83146,-72.92233
12007,42.45616,-73.92765
12008,42.85301,-73.90799
12009,42.69824,-74.03178
12010,42.93797,-74.17386
12015,42.28262,-73.8272
12017,42.32118,-73.46216
12018,42.62952,-73.52591
12019,42.93075,-73.88635
12020,43.00248,-73.868
12022,42.67078,-73.34569
12023,42.60998,-74.16738
12024,42.47678,-73.53331
12025,43.0833,-74.136
12027,42.92243,-73.90716
12028,42.93994,-73.4432
12029,42.40668,-73.42658
12031,42.76477,-74.4569
12032,43.23363,-74.55081
12033,42.53754,-73.70714
12035,42.73177,-74.35151
12036,42.54077,-74.6774
12037,42.34517,-73.56853
12040,42.63738,-73.35077
12041,42.58328,-73.96423
12042,42.4021,-73.9202
12043,42.70454,-74.52273
12045,42.47693,-73.7952
12046,42.49182,-73.91917
12047,42.784,-73.72653
12051,42.34411,-73.84516
12052,42.75397,-73.47861
12053,42.75365,-74.1923
12054,42.60874,-73.86582
12056,42.7666,-74.09025
12057,42.96978,-73.34463
12058,42.34966,-73.92449
12059,42.61213,-74.05894
12060,42.41679,-73.49419
12061,42.59819,-73.6557
12062,42.531,-73.50807
12063,42.56505,-73.63758
12064,42.61434,-74.65729
12065,42.85316,-73.78649
12066,42.78057,-74.31049
12067,42.55615,-73.92633
12068,42.95546,-74.40903
12069,42.94514,-74.27897
12070,42.98469,-74.25387
12071,42.55267,-74.42264
12072,42.88466,-74.36231
12074,43.05038,-74.0445
12075,42.29983,-73.63382
12076,42.41003,-74.38858
12077,42.59434,-73.78405
12078,43.1238,-74.36368
12083,42.4303,-74.02664
12084,42.70421,-73.90096
12085,42.70336,-73.96335
12086,42.99719,-74.10672
12087,42.43247,-73.89778
12089,42.86787,-73.31205
12090,42.88022,-73.35532
12092,42.70126,-74.37659
12093,42.4968,-74.6268
12094,42.89332,-73.48837
12095,43.02702,-74.40419
12106,42.38895,-73.71132
12108,43.57407,-74.44934
12110,42.75316,-73.7767
12115,42.47281,-73.58074
12116,42.53723,-74.91524
12117,43.16875,-74.2547
12118,42.91684,-73.72138
12120,42.45141,-74.14424
12121,42.84592,-73.60204
12122,42.54808,-74.31659
12123,42.52279,-73.60792
12124,42.44906,-73.79272
12125,42.47602,-73.40481
12130,42.44206,-73.6595
12131,42.45964,-74.46805
12132,42.47052,-73.63004
12134,43.2662,-74.22876
12136,42.43618,-73.55836
12137,42.85609,-74.12773
12138,42.74721,-73.37207
12139,43.53729,-74.56482
12140,42.69179,-73.56269
12143,42.48579,-73.85204
12144,42.62974,-73.71811
12147,42.51463,-74.15546
12148,42.83454,-73.84743
12149,42.61829,-74.56493
12150,42.87857,-74.05383
12151,42.92512,-73.78874
12153,42.64044,-73.46871
12154,42.9377,-73.60063
12155,42.59561,-74.82455
12156,42.47719,-73.74355
12157,42.66588,-74.29885
12158,42.54063,-73.82091
12159,42.6424,-73.88604
12160,42.75887,-74.3672
12161,42.53606,-73.85486
12164,43.55385,-74.35818
12165,42.31057,-73.50767
12166,42.8387,-74.45279
12167,42.42076,-74.58407
12168,42.56099,-73.38082
12169,42.58644,-73.44276
12170,42.99684,-73.66309
12172,42.28913,-73.73955
12173,42.38753,-73.76027
12174,42.35336,-73.72854
12175,42.5515,-74.55282
12176,42.38014,-73.96713
12177,42.951,-74.28714
12180,42.75062,-73.60223
12182,42.80045,-73.63286
12183,42.74743,-73.69256
12184,42.42049,-73.65421
12185,42.90329,-73.53123
12186,42.62751,-73.97066
12187,42.62196,-74.46226
12188,42.81988,-73.69582
12189,42.73626,-73.71765
12190,43.47353,-74.27331
12192,42.40291,-73.82828
12193,42.5157,-74.04497
12194,42.52443,-74.45965
12195,42.48664,-73.47099
12196,42.63157,-73.61698
12197,42.61136,-74.72774
12198,42.67673,-73.63404
12202,42.63378,-73.76322
12203,42.68108,-73.84822
12204,42.68802,-73.72852
12205,42.71896,-73.82934
12206,42.67445,-73.78253
12207,42.65728,-73.74608
12208,42.65331,-73.8102
12209,42.63807,-73.7899
12210,42.65996,-73.75818
12211,42.70582,-73.76407
12222,42.68539,-73.82541
12302,42.88182,-73.98204
12303,42.74956,-73.9246
12304,42.7741,-73.8973
12305,42.81215,-73.95043
12306,42.80481,-74.02857
12307,42.80503,-73.93364
12308,42.82157,-73.91999
12309,42.79915,-73.86951
12401,41.93558,-74.05278
12404,41.81464,-74.23593
12405,42.32139,-74.08988
12406,42.10202,-74.55241
12407,42.31761,-74.35824
12409,42.04364,-74.16684
12410,42.0699,-74.44976
12411,41.87608,-74.04552
12412,42.01273,-74.27957
12413,42.31255,-74.02123
12414,42.22399,-73.92037
12416,42.10067,-74.28871
12417,41.90682,-73.98998
12418,42.35877,-74.16173
12419,41.85962,-74.10349
12420,41.67113,-74.3793
12421,42.2486,-74.54307
12422,42.3926,-74.20334
12423,42.37921,-74.10974
12424,42.24686,-74.13529
12427,42.14078,-74.13729
12428,41.73903,-74.44489
12429,41.8291,-73.97495
12430,42.20346,-74.49959
12431,42.36032,-74.02069
12432,42.04431,-73.94446
12433,42.00337,-74.15849
12434,42.36051,-74.50076
12435,41.7288,-74.5187
12436,42.19555,-74.07411
12438,42.20791,-74.60127
12439,42.29608,-74.18386
12440,41.77871,-74.17726
12441,42.1353,-74.50865
12442,42.21526,-74.23674
12443,41.93397,-74.08537
12444,42.26319,-74.29672
12446,41.80597,-74.32554
12448,42.07925,-74.1829
12449,41.99355,-73.9931
12450,42.13328,-74.24421
12451,42.30526,-73.95016
12452,42.25765,-74.36122
12453,42.09341,-73.93634
12454,42.28669,-74.15098
12455,42.13971,-74.65986
12456,42.03317,-73.99706
12457,42.04406,-74.2525
12458,41.81571,-74.41994
12459,42.23647,-74.68027
12460,42.41081,-74.15606
12461,41.90889,-74.26928
12463,42.19997,-74.01727
12464,42.03513,-74.35126
12465,42.1531,-74.46732
12466,41.90425,-73.97908
12468,42.29895,-74.42302
12469,42.44715,-74.23917
12470,42.29589,-74.07723
12471,41.84147,-74.04122
12472,41.84608,-74.07873
12473,42.25818,-74.04101
12474,42.29729,-74.57932
12475,42.0152,-74.01543
12477,42.08592,-73.9998
12480,42.13631,-74.37742
12481,41.98299,-74.22481
12482,42.26813,-73.95546
12483,41.67552,-74.42136
12484,41.87104,-74.17495
12485,42.2032,-74.14374
12486,41.83381,-74.06256
12487,41.85934,-73.99538
12489,41.75069,-74.35549
12490,42.12466,-73.92605
12491,41.96747,-74.13696
12492,42.18491,-74.33575
12493,41.79614,-73.97687
12494,41.9566,-74.29289
12495,42.08489,-74.24067
12496,42.32647,-74.27376
12498,42.04851,-74.10639
12501,41.85964,-73.55857
12502,42.08515,-73.65507
12503,42.0385,-73.58041
12504,42.02963,-73.91605
12507,42.00374,-73.92069
12508,41.49675,-73.95384
12512,41.55181,-73.96613
12513,42.21761,-73.72778
12514,41.87279,-73.76292
12515,41.68301,-74.06266
12516,42.11175,-73.56537
12517,42.11828,-73.512
12518,41.41613,-74.03946
12520,41.43298,-74.00598
12521,42.1701,-73.65029
12522,41.72043,-73.59681
12523,42.08684,-73.75327
12524,41.52964,-73.89257
12525,41.68638,-74.18568
12526,42.12185,-73.85885
12527,41.51944,-73.93565
12528,41.71884,-74.00447
12529,42.21555,-73.53709
12530,42.20743,-73.68788
12531,41.5369,-73.66963
12533,41.56031,-73.79397
12534,42.22273,-73.75158
12538,41.79248,-73.89308
12540,41.6708,-73.7251
12542,41.60744,-73.99732
12543,41.49327,-74.17578
12545,41.79056,-73.67398
12546,41.96789,-73.5345
12547,41.65596,-73.98512
12548,41.65987,-74.10747
12549,41.53004,-74.25872
12550,41.5372,-74.05256
12553,41.45711,-74.07564
12561,41.75498,-74.09752
12563,41.49457,-73.58745
12564,41.57751,-73.58674
12565,42.24852,-73.6463
12566,41.62101,-74.33126
12567,41.98247,-73.64953
12569,41.73432,-73.79584
12570,41.61935,-73.67232
12571,42.0057,-73.80906
12572,41.92526,-73.87204
12574,41.91773,-73.94563
12575,41.47844,-74.15408
12577,41.42586,-74.12296
12578,41.80843,-73.79486
12580,41.85424,-73.87222
12581,41.90699,-73.69347
12582,41.54448,-73.73509
12583,42.06131,-73.86652
12585,41.72485,-73.7009
12586,41.56504,-74.17331
12589,41.62667,-74.15905
12590,41.59496,-73.88774
12592,41.79141,-73.55412
12594,41.6684,-73.55016
12601,41.70358,-73.91165
12603,41.67822,-73.86547
12604,41.68846,-73.89206
12701,41.64914,-74.70027
12719,41.48855,-74.91187
12720,41.65846,-74.90424
12721,41.56748,-74.42892
12722,41.59064,-74.37424
12723,41.77568,-75.02832
12724,41.85412,-74.9339
12725,41.96001,-74.54538
12726,41.69411,-74.97726
12729,41.47624,-74.6244
12732,41.5627,-74.87396
12733,41.73198,-74.60978
12734,41.73304,-74.75093
12736,41.85536,-75.03209
12737,41.50471,-74.80052
12738,41.65611,-74.57099
12740,41.89428,-74.46984
12741,41.84156,-75.08108
12742,41.71931,-74.7219
12743,41.54276,-74.8477
12745,41.78338,-75.02464
12746,41.44137,-74.66427
12747,41.76737,-74.66463
12748,41.77543,-74.92349
12749,41.69466,-74.83671
12750,41.73212,-74.95709
12751,41.69363,-74.66427
12752,41.68243,-74.98832
12754,41.79843,-74.73685
12758,41.94576,-74.74555
12759,41.77915,-74.65336
12760,41.90018,-75.10893
12762,41.66892,-74.79152
12763,41.67987,-74.52305
12764,41.59528,-74.98458
12765,41.85542,-74.61939
12766,41.81153,-74.98028
12767,41.8414,-75.00261
12768,41.87132,-74.71587
12769,41.65793,-74.46733
12770,41.44786,-74.85422
12771,41.3744,-74.62464
12775,41.61565,-74.59273
12776,41.96089,-74.93463
12777,41.54832,-74.69615
12778,41.64225,-74.80929
12779,41.70275,-74.63167
12780,41.44432,-74.72128
12781,41.6197,-74.46633
12783,41.74096,-74.83629
12784,41.66983,-74.62598
12785,41.52529,-74.56984
12786,41.6405,-74.85503
12787,41.79796,-74.8353
12788,41.7894,-74.58833
12789,41.70682,-74.57042
12790,41.59141,-74.51581
12791,41.81225,-74.89007
12792,41.51836,-74.94767
12801,43.31142,-73.64489
12803,43.28938,-73.62995
12804,43.33891,-73.68408
12808,43.75116,-73.72811
12809,43.2383,-73.46344
12810,43.49698,-74.01049
12811,43.60546,-74.02832
12812,43.8721,-74.41197
12814,43.61048,-73.64715
12815,43.69032,-73.69708
